Year,Month,Layer,Station,Region,Class,Species,Group,TrophicMode,m,un
2022,4,Surface,1,Coast,Bacillariophyceae,Coscinodiscus sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,1.024780387
2022,4,Surface,1,Coast,Bacillariophyceae,Guinardia sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Navicula sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Pleurosigma angulatum,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Pleurosigma elongatum,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Pleurosigma normanii,Diatoms,Autotroph,0,0.01
2023,5,Surface,1,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,1.76416955
2022,4,Surface,1,Coast,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,1.460622409
2022,10,Surface,4,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Dinophyceae,Alexandrium sp.,Others,Mixotroph,0,0.056961077
2022,4,Surface,4,Front,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,1.028630163
2022,4,Surface,4,Front,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2022,10,SCM,11,Front,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2022,10,SCM,6,Offshore,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.034383693
2023,5,Surface,1,Coast,Dinophyceae,Dinophysis acuminata,Others,Mixotroph,0,1.525480613
2022,4,Surface,11,Front,Bacillariophyceae,Chaetoceros curvisetus,Diatoms,Autotroph,0,0.01
2022,4,Surface,11,Front,Bacillariophyceae,Eucampia cornuta,Diatoms,Autotroph,0,0.01
2023,10,Surface,11,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.157599988
2022,4,Surface,13,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,2.60298307
2022,4,Surface,13,Coast,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,1.945083833
2023,10,Surface,1,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.7163127
2022,4,SCM,4,Front,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,13,Coast,Dinophyceae,Gonyaulax sp.,Others,Mixotroph,0,0.030768545
2023,5,Surface,1,Coast,Dinophyceae,Tripos furca,Others,Mixotroph,0,1.151398291
2022,4,SCM,11,Front,Bacillariophyceae,Chaetoceros curvisetus,Diatoms,Autotroph,0,0.01
2022,4,SCM,11,Front,Bacillariophyceae,Chaetoceros decipiens,Diatoms,Autotroph,0,0.01
2022,4,SCM,11,Front,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2022,4,Surface,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,1.475133601
2022,4,SCM,13,Coast,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,3.432379321
2022,4,SCM,13,Coast,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.541798409
2022,10,Surface,1,Coast,Bacillariophyceae,Bacteriastrum delicatulum,Diatoms,Autotroph,0,0.01
2022,10,Surface,1,Coast,Bacillariophyceae,Bacteriastrum hyalinum,Diatoms,Autotroph,0,0.01
2022,10,Surface,1,Coast,Bacillariophyceae,Chaetoceros costatus,Diatoms,Autotroph,0,0.01
2022,10,Surface,1,Coast,Bacillariophyceae,Rhizosolenia alata,Diatoms,Autotroph,0,0.01
2022,10,Surface,1,Coast,Bacillariophyceae,Rhizosolenia stolterforthii,Diatoms,Autotroph,0,0.01
2023,5,Surface,1,Coast,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.624314772
2022,10,Surface,4,Front,Bacillariophyceae,Chaetoceros danicus,Diatoms,Autotroph,0,1.02701904
2022,10,Surface,4,Front,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2022,10,Surface,4,Front,Bacillariophyceae,Rhizosolenia stolterforthii,Diatoms,Autotroph,0,1.31611056
2022,10,Surface,4,Front,Bacillariophyceae,Stauroneis membranacea,Diatoms,Autotroph,0,1.232791634
2022,10,Surface,4,Front,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.01
2023,5,SCM,13,Coast,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.01
2022,10,Surface,6,Offshore,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,6,Offshore,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.01
2023,8,Surface,6,Offshore,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.01
2023,8,SCM,11,Front,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.01
2023,8,SCM,13,Coast,Dinophyceae,Gymnodinium sp.irale,Others,Mixotroph,0,0.01
