Ecosystem,Year,Month,Season,Layer,Station,Region,Group,R2,ko,kn,m,un,uo,un.uo,m.un
SS,2022,4,Spring,Surface,1,Coast,Diatoms/Dinoflagellates,0.004,1,1,0.01,1.04,1.01,1.02970297,0.009615385
SS,2022,4,Spring,Surface,4,Front,Diatoms/Dinoflagellates,0.92,0.07,0.19,1.2,1.29,1.27,1.015748031,0.930232558
SS,2022,4,Spring,Surface,6,Offshore,Diatoms/Dinoflagellates,0.95,0.07,-0.18,1.44,1.17,1.51,0.774834437,1.230769231
SS,2022,4,Spring,Surface,11,Front,Diatoms/Dinoflagellates,0.93,0.07,0.09,1.52,1.53,1.58,0.96835443,0.993464052
SS,2023,8,Summer,Surface,1,Coast,Diatoms/Dinoflagellates,0.8,-0.62,-1.21,1.74,0.26,1.12,0.232142857,6.692307692
SS,2023,8,Summer,Surface,4,Front,Diatoms/Dinoflagellates,0.87,-0.44,-0.27,1.43,1.04,0.99,1.050505051,1.375
SS,2023,8,Summer,Surface,6,Offshore,Diatoms/Dinoflagellates,0.9,0.08,0,2.07,1.98,2.15,0.920930233,1.045454545
SS,2023,8,Summer,Surface,11,Front,Diatoms/Dinoflagellates,0.57,-0.07,0.54,1.28,1.77,1.21,1.462809917,0.723163842
SS,2023,8,Summer,Surface,13,Coast,Diatoms/Dinoflagellates,0.8,0.46,0.48,1.67,1.98,2.13,0.929577465,0.843434343
SS,2023,10,Fall,Surface,1,Coast,Diatoms/Dinoflagellates,0.63,0.54,0.23,1.21,1.69,1.75,0.965714286,0.715976331
SS,2023,10,Fall,Surface,11,Front,Diatoms/Dinoflagellates,0.84,0.17,0.17,1.19,1.28,1.36,0.941176471,0.9296875
SS,2023,10,Fall,Surface,13,Coast,Diatoms/Dinoflagellates,0.76,0.55,0.61,0.9,1.39,1.45,0.95862069,0.647482014
SS,2022,4,Spring,SCM,4,Front,Diatoms/Dinoflagellates,0.92,-0.06,-0.26,1.11,0.85,1.05,0.80952381,1.305882353
SS,2022,4,Spring,SCM,6,Offshore,Diatoms/Dinoflagellates,0.75,0.1,-0.21,1.2,0.88,1.3,0.676923077,1.363636364
SS,2022,4,Spring,SCM,13,Coast,Diatoms/Dinoflagellates,0.68,0.27,0.62,0.76,1.32,1.03,1.281553398,0.575757576
SS,2023,8,Summer,SCM,1,Coast,Diatoms/Dinoflagellates,0.89,-1.22,-1.02,1.65,0.5,0.42,1.19047619,3.3
SS,2023,8,Summer,SCM,4,Front,Diatoms/Dinoflagellates,0.89,-0.45,-0.66,1.89,1.07,1.44,0.743055556,1.76635514
SS,2023,8,Summer,SCM,6,Offshore,Diatoms/Dinoflagellates,0.83,0.4,0.51,1.43,1.8,1.83,0.983606557,0.794444444
SS,2023,8,Summer,SCM,11,Front,Diatoms/Dinoflagellates,0.88,-0.39,-0.41,1.83,1.22,1.44,0.847222222,1.5
SS,2023,8,Summer,SCM,13,Coast,Diatoms/Dinoflagellates,0.92,-0.33,-0.62,1.57,0.91,1.24,0.733870968,1.725274725
SS,2023,10,Fall,SCM,1,Coast,Diatoms/Dinoflagellates,0.81,0.52,0.44,1.09,1.45,1.62,0.895061728,0.751724138
SS,2023,10,Fall,SCM,11,Front,Diatoms/Dinoflagellates,0.89,-0.43,-0.23,1.58,1.2,1.15,1.043478261,1.316666667
SS,2023,10,Fall,SCM,13,Coast,Diatoms/Dinoflagellates,0.87,-0.14,-0.14,1.39,1.11,1.25,0.888,1.252252252
